accuLine,Construction,verb,rec,rec.def,rec.pron,rec.anim,thm,thm.def,thm.pron,thm.anim
she gave &the equivalent of fifty cents& to $her$,gave her the equivalent of fifty cents -,gave,her,Def,pronoun,Anim,the equivalent of fifty cents,Def,non,Inanim
well now today I want to teach &how to use your fingers& to $you$,teach you how to use your fingers -,teach,you,Def,pronoun,Anim,how to use your fingers,Indef,non,Inanim
and also they used to send &a calendar usually of the Grand Canyon& to $us$ you know all the different shots and so on,send us a calendar usually of the Grand Canyon,send,us,Def,pronoun,Anim,a calendar usually of the Grand Canyon,Indef,non,Inanim
but I suppose your parents were concerned you see they gave &the opportunity& to $you$ they did the best for you,gave you the opportunity,gave,you,Def,pronoun,Anim,the opportunity,Def,non,Inanim
um. then it's gonna cost &the same price& to $me$ again,cost me the same price,cost,me,Def,pronoun,Anim,the same price,Def,non,Inanim
interests we had my mother always tells &what a naughty little girl I was& to $me$ ahh --,tells me what a naughty little girl I was,tells,me,Def,pronoun,Anim,what a naughty little girl I was,Indef,non,Inanim
and it really didn't seem to do &any harm& to $Nicky$ I don't think it did Linda much good .,do Nicky any harm,do,Nicky,Def-pn,non,Anim,any harm,Indef,non,Inanim
and it really didn't seem to do Nicky any harm I don't think it did &much good& to $Linda$,did Linda much good .,did,Linda,Def-pn,non,Anim,much good,Indef,non,Inanim
and they were so pleased with her they offered &a job& to $her$,offered her a job -,offered,her,Def,pronoun,Anim,a job,Indef,non,Inanim
from what I've heard Dad never told &much& to $us$ but from what I've heard,told us much,told,us,Def,pronoun,Anim,much,Indef,non,Inanim
and teaching oh I couldn't do that you can tell &that& to $your mother$ too,tell your mother that,tell,your mother,Def,non,Anim,that,Def,pronoun,Inanim
and gives &a brown eye& to $me$,gives me a brown eye -,gives,me,Def,pronoun,Anim,a brown eye,Indef,non,Inanim
I'll show &some of my embroidery& to $you$ in a minute um .,show you some of my embroidery,show,you,Def,pronoun,Anim,some of my embroidery,Indef,non,Inanim
none of those got made this time but . she she's made &a special recipe book& to $me$ and,made me a special recipe book,made,me,Def,pronoun,Anim,a special recipe book,Indef,non,Inanim
and I said everyone told &how wonderful French men were& to $me$  and,told me how wonderful French men were,told,me,Def,pronoun,Anim,how wonderful French men were,Indef,non,Inanim
well . St Margaret's offered &a job& to $me$,offered me a job,offered,me,Def,pronoun,Anim,a job,Indef,non,Inanim
they taught &a great deal& to $me$ in a lot of ways,taught me a great deal,taught,me,Def,pronoun,Anim,a great deal,Indef,non,Inanim
you know I felt that it's not that they were telling &that& to $me$,telling me that .,telling,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
and they would give &the words and things that she needed& to $her$,give her the words and things that she needed,give,her,Def,pronoun,Anim,the words and things that she needed,Def,non,Inanim
when are you going to start teaching &English& to $her$,teaching her English,teaching,her,Def,pronoun,Anim,English,Def-pn,non,Inanim
they hadn't given &any back pay& to $her$,given her any back pay .,given,her,Def,pronoun,Anim,any back pay,Indef,non,Inanim
I rang David to see if he and his brother would give &a ride into town& to $me$,give me a ride into town,give,me,Def,pronoun,Anim,a ride into town,Indef,non,Inanim
telling &what the girls have been doing& to $us$,telling us what the girls have been doing and what to reinforce,telling,us,Def,pronoun,Anim,what the girls have been doing,Indef,non,Inanim
ahh she wrote &a delightful letter& to $us$,wrote us a delightful letter .,wrote,us,Def,pronoun,Anim,a delightful letter,Indef,non,Inanim
you know sometimes we've had a month off now they give &a month break& to $us$,give us a month break .,give,us,Def,pronoun,Anim,a month break,Indef,non,Inanim
I mean they wanted me to give &things& to $them$ whatever they wanted <yeah>,give them things,give,them,Def,pronoun,Anim,things,Indef,non,Inanim
give us your give &your cup& to $us$ dear,give us your cup,give,us,Def,pronoun,Anim,your cup,Def,non,Inanim
going down the road and this guy was hitching a ride so I gave &a ride& to $him$ <oh really>,gave him a ride .,gave,him,Def,pronoun,Anim,a ride,Indef,non,Inanim
so I gave &a lift& to $him$ and then I went out with him later on and he was a real nerd .,gave him a lift,gave,him,Def,pronoun,Anim,a lift,Indef,non,Inanim
showed &which way to go& to $her$ and then she realised that she's in a really old uniform -,showed her which way to go .,showed,her,Def,pronoun,Anim,which way to go,Indef,non,Inanim
and so they were really really striving to give &an education& to $us$ cos neither of them had had any,give us an education,give,us,Def,pronoun,Anim,an education,Indef,non,Inanim
ohh well I'll have to tell &the funniest fishing story from the family& to $you$,tell you the funniest fishing story from the family .,tell,you,Def,pronoun,Anim,the funniest fishing story from the family,Def,non,Inanim
teach that's my husband and teach &how to fish& to $the boys$,teach the boys how to fish .,teach,the boys,Def,non,Anim,how to fish,Indef,non,Inanim
rather than catching the fish - but he decided to give &a lesson in how to cast a rod& to $them$,give them a lesson in how to cast a rod -,give,them,Def,pronoun,Anim,a lesson in how to cast a rod,Indef,non,Inanim
and was teach giving &another demonstration& to $the boys$,giving the boys another demonstration .,giving,the boys,Def,non,Anim,another demonstration,Indef,non,Inanim
view and I'm entitled to it unless you show &some high court authority& to $me$,show me some high court authority,show,me,Def,pronoun,Anim,some high court authority,Indef,non,Inanim
an adjournment for half an hour the judge said I'll give &15 minutes& to $you$,give you 15 minutes,give,you,Def,pronoun,Anim,15 minutes,Indef,non,Inanim
and that and then all his friends wrote &a letter& to $him$,wrote him a letter,wrote,him,Def,pronoun,Anim,a letter,Indef,non,Inanim
and then they showed &a video of what our boat looks like& to $us$,showed us a video of what our boat looks like,showed,us,Def,pronoun,Anim,a video of what our boat looks like,Indef,non,Inanim
. . . . /everyone/ gives &hassels about it& to $me$ eh .,gives me hassels about it,gives,me,Def,pronoun,Anim,hassels about it,Indef,non,Inanim
not giving &very much time to spend with their animal& to $them$,giving them very much time to spend with their animal .,giving,them,Def,pronoun,Anim,very much time to spend with their animal,Indef,non,Inanim
and if he had of offered &a job& to $me$ I probably wouldn't have taken it -,offered me a job,offered,me,Def,pronoun,Anim,a job,Indef,non,Inanim
and um . and he gave &the thumbs up& to $me$ which was quite good,gave me the thumbs up .,gave,me,Def,pronoun,Anim,the thumbs up,Def,non,Inanim
and she goes to me . she gives &a light bulb& to $me$,gives me a light bulb,gives,me,Def,pronoun,Anim,a light bulb,Indef,non,Inanim
and I said we can fully refund it or . give &a replacement& to $you$ <mmm hmm> .,give you a replacement,give,you,Def,pronoun,Anim,a replacement,Indef,non,Inanim
mmm . sometimes you just want to tell &where to go& to $them$ but you can't,tell them where to go .,tell,them,Def,pronoun,Anim,where to go,Indef,non,Inanim
you know give &a go& to $it$ and.,give it a go,give,it,Def,pronoun,Inanim,a go,Indef,non,Inanim
gave &exercise& to $him$ and.,gave him exercise,gave,him,Def,pronoun,Anim,exercise,Indef,non,Inanim
not to teach &anything& to $you$ <yeah>   I,teach you anything,teach,you,Def,pronoun,Anim,anything,Indef,non,Inanim
why don't you teach &how to do stuff& to $us$,teach us how to do stuff ?,teach,us,Def,pronoun,Anim,how to do stuff,Indef,non,Inanim
and lent &her necklace& to $me$ so .,lent me her necklace,lent,me,Def,pronoun,Anim,her necklace,Def,non,Inanim
and then she cindy gave &a cuppa tea& to $her$,gave her a cuppa tea,gave,her,Def,pronoun,Anim,a cuppa tea,Indef,non,Inanim
<oh> it's quite funny I gave &all my old notes& to $him$     I,gave him all my old notes,gave,him,Def,pronoun,Anim,all my old notes,Def,non,Inanim
he wouldn't give my give &my stereo& to $me$,give me my stereo -,give,me,Def,pronoun,Anim,my stereo,Def,non,Inanim
well cos you gave &that face& to $me$ you ju .,gave me that face,gave,me,Def,pronoun,Anim,that face,Def,non,Inanim
so they really can't . tell &what to do& to $me$ anyway you know,tell me what to do,tell,me,Def,pronoun,Anim,what to do,Indef,non,Inanim
outstanding memories ah yes my my older brother and myself he tormented me a lot um . he used to give &dead legs& to $me$ and . you know,give me dead legs,give,me,Def,pronoun,Anim,dead legs,Indef,non,Inanim
he said he'd pay me and he never did and I still hold him to that this day he he still thinks he owes &nothing& to $me$ but,owes me nothing,owes,me,Def,pronoun,Anim,nothing,Indef,non,Inanim
you should I'll give &my number& to $you$ and you can,give you my number,give,you,Def,pronoun,Anim,my number,Def,non,Inanim
I was waiting for him to give &a card or something& to $me$ <yeah>,give me a card or something,give,me,Def,pronoun,Anim,a card or something,Indef,non,Inanim
so I gave him a piece of <ha> paper and stuff so he gave &his number& to $me$,gave me his number .,gave,me,Def,pronoun,Anim,his number,Def,non,Inanim
yeah . yeah . so I didn't give &my number& to $him$ <no>,give him my number,give,him,Def,pronoun,Anim,my number,Def,non,Inanim
while I working at Nature Discoveries just to give &a little bit extra& to $me$,give me a little bit extra --,give,me,Def,pronoun,Anim,a little bit extra,Indef,non,Inanim
and I was sitting down reading &a story& to $one boy$ and .,reading one boy a story,reading,one boy,Indef,non,Anim,a story,Indef,non,Inanim
and then he'd say you're not my mum you can't tell &what to do& to $me$,tell me what to do -,tell,me,Def,pronoun,Anim,what to do,Indef,non,Inanim
Mr B all these cakes and they were the best cakes in the world and gave &this certificate& to $me$,gave me this certificate .,gave,me,Def,pronoun,Anim,this certificate,Def,non,Inanim
oh they gave &a stereo and a trip to Australia& to $me$,gave me a stereo and a trip to Australia .,gave,me,Def,pronoun,Anim,a stereo and a trip to Australia,Indef,non,Inanim
or we might've even just got the board out ourselves and tried to teach &how to do it& to $ourselves$,teach ourselves how to do it -,teach,ourselves,Def,pronoun,Anim,how to do it,Indef,non,Inanim
but um . dad . would've taught &a wee bit& to $us$ but then we went to swimming lessons .,taught us a wee bit,taught,us,Def,pronoun,Anim,a wee bit,Indef,non,Inanim
he used to teach us different like . backstroke or I remember him teaching &butterfly& to $me$,teaching me butterfly .,teaching,me,Def,pronoun,Anim,butterfly,Indef,non,Inanim
I think dad was the one that taught &how to bike ride& to $us$ to .,taught us how to bike ride,taught,us,Def,pronoun,Anim,how to bike ride,Indef,non,Inanim
yeah . dad taught &how to drive& to $us$ me and my sister .   I,taught us how to drive,taught,us,Def,pronoun,Anim,how to drive,Indef,non,Inanim
<mmm> they give &only five percent or something& to $you$ but yeah .,give you only five percent or something,give,you,Def,pronoun,Anim,only five percent or something,Indef,non,Inanim
yeah give &encouragement& to $me$ and he was . good he was funny,give me encouragement,give,me,Def,pronoun,Anim,encouragement,Indef,non,Inanim
oh you've finished that wait here I'll give &another job& to $you$,give you another job .,give,you,Def,pronoun,Anim,another job,Indef,non,Inanim
and she wanted to put me in the laundry cos she knew I was a good worker and I was like yeah no that's fine I'll give &a go& to $it$,give it a go .,give,it,Def,pronoun,Inanim,a go,Indef,non,Inanim
she's offered &a pair of little ice skates& to $us$ for when he's a year old,offered us a pair of little ice skates,offered,us,Def,pronoun,Anim,a pair of little ice skates,Indef,non,Inanim
you have to tell &that& to $me$,tell me that,tell,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
it just gets from a big company and they give &the overload& to $you$,give you the overload .,give,you,Def,pronoun,Anim,the overload,Def,non,Inanim
yeah cos Aaron didn't really tell &what it was& to $me$,tell me what it was,tell,me,Def,pronoun,Anim,what it was,Indef,non,Inanim
cos I I'd like I'd get him to go oh can you give &a hand& to $me$   instead,give me a hand ?,give,me,Def,pronoun,Anim,a hand,Indef,non,Inanim
giving &a hand& to $me$ he will do it cos he's one of these people who doesn't,giving me a hand,giving,me,Def,pronoun,Anim,a hand,Indef,non,Inanim
we've just been going doing one for Aaron and that just give &a surprise& to $him$ one but he didn't actually want one .,give him a surprise,give,him,Def,pronoun,Anim,a surprise,Indef,non,Inanim
it will cost &a wee bit more& to $you$ <yeah>,cost you a wee bit more -,cost,you,Def,pronoun,Anim,a wee bit more,Indef,non,Inanim
um the guy showed &how to make it& to $us$ he went along and gave everyone advice,showed us how to make it,showed,us,Def,pronoun,Anim,how to make it,Indef,non,Inanim
um the guy showed us how to make it he went along and gave &advice& to $everyone$,gave everyone advice,gave,everyone,Def,non,Anim,advice,Indef,non,Inanim
and she showed &how to make a tomato sauce base to go on it& to $us$ as well,showed us how to make a tomato sauce base to go on it .,showed,us,Def,pronoun,Anim,how to make a tomato sauce base to go on it,Indef,non,Inanim
sort of gave &more of a colouring than a flavour& to $it$,gave it more of a colouring than a flavour .,gave,it,Def,pronoun,Inanim,more of a colouring than a flavour,Indef,non,Inanim
he was showing &how to lock the house& to $me$ and deadlock it and everything .,showing me how to lock the house,showing,me,Def,pronoun,Anim,how to lock the house,Indef,non,Inanim
chelle can you lock the door . <right> but he had to go and show &every single lock& to $me$,show me every single lock,show,me,Def,pronoun,Anim,every single lock,Def,non,Inanim
everythink <> he had to show &everything what to do& to $me$ and I just got furious,show me everything what to do,show,me,Def,pronoun,Anim,everything what to do,Def,non,Inanim
well my . dad sold &motorbikes& to $Jeremy's father$ to for university,sold Jeremy's father motorbikes,sold,Jeremy's father,Def,non,Anim,motorbikes,Indef,non,Inanim
gave &his phone number& to $us$ and said look if they come back .,gave us his phone number,gave,us,Def,pronoun,Anim,his phone number,Def,non,Inanim
so can I give &a balloon& to $her$ an oh it was just so funny an an people were asking me .,give her a balloon,give,her,Def,pronoun,Anim,a balloon,Indef,non,Inanim
<mmm> I'll give &my number& to $you$,give you my number,give,you,Def,pronoun,Anim,my number,Def,non,Inanim
or give &a call& to $us$ while you're up there there <mmm>,give us a call,give,us,Def,pronoun,Anim,a call,Indef,non,Inanim
I gave &a call& to $Terry$ and um . we went out .   no,gave Terry a call,gave,Terry,Def-pn,non,Anim,a call,Indef,non,Inanim
and you'd pay &whatever they were going to send in& to $the family$ <mmm> or something like,pay the family whatever they were going to send in,pay,the family,Def,non,Anim,whatever they were going to send in,Indef,pronoun,Inanim
you know only Dad could give &the bottle& to $her$ so .   so,give her the bottle,give,her,Def,pronoun,Anim,the bottle,Def,non,Inanim
<> what on earth is x im? I said tell &what it is& to $me$ I said,tell me what it is,tell,me,Def,pronoun,Anim,what it is,Indef,non,Inanim
I can't get ya know so . you shuffle along the wing I'll show &a photo& to $you$ later,show you a photo,show,you,Def,pronoun,Anim,a photo,Indef,non,Inanim
he tells &when to turn& to $you$ you gotta get on course you gotta get your target right .,tells you when to turn,tells,you,Def,pronoun,Anim,when to turn,Indef,non,Inanim
if I'd known I was coming first it would've given &that extra incentive& to $me$ to .,given me that extra incentive,given,me,Def,pronoun,Anim,that extra incentive,Def,non,Inanim
oh I didn't realize that . no cos I didn't know her name ya never told &her name& to $me$ but .,told me her name,told,me,Def,pronoun,Anim,her name,Def,non,Inanim
an he was telling &that& to $me$ an she won . the Queenstown one or something,telling me that,telling,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
not yet . I'll give &a ring& to $her$ in another . couple of weeks .,give her a ring,give,her,Def,pronoun,Anim,a ring,Indef,non,Inanim
ha . yeah . um yeah cos Tracey gave &a lift out there& to $me$ at seven o'clock -,gave me a lift out there,gave,me,Def,pronoun,Anim,a lift out there,Indef,non,Inanim
I didn't learn that in biology . <oh> somebody else told &that& to $me$,told me that .,told,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
I use my education as an excuse and he'll tell &this& to $me$ oh you just use that as a excuse ?,tell me this,tell,me,Def,pronoun,Anim,this,Def,pronoun,Inanim
. like um say you've made two . you gave &two hundred dollars& to $me$ on Monday,gave me two hundred dollars,gave,me,Def,pronoun,Anim,two hundred dollars,Indef,non,Inanim
big hunt and they give &the worst horse in the whole place& to $Mame$,give Mame the worst horse in the whole place,give,Mame,Def-pn,non,Anim,the worst horse in the whole place,Def,non,Anim
I'll send &a ticket& to $you$ and they got my ticket in the mail like within a week and .,send you a ticket,send,you,Def,pronoun,Anim,a ticket,Indef,non,Inanim
give &a break& to $me$ come on you know .,give me a break  <>,give,me,Def,pronoun,Anim,a break,Indef,non,Inanim
to have a good time and you know give &work and stuff& to $them$,give them work and stuff .,give,them,Def,pronoun,Anim,work and stuff,Indef,non,Inanim
so at the moment my friend Hester's like given &all of her books on her bookshelf& to $me$,given me all of her books on her bookshelf,given,me,Def,pronoun,Anim,all of her books on her bookshelf,Def,non,Inanim
so he basically I taught &the whole lot& to $me$,taught me the whole lot,taught,me,Def,pronoun,Anim,the whole lot,Def,non,Inanim
<yeah> um she's . her and I are giving &a year& to $Michelle$,giving Michelle a year .,giving,Michelle,Def-pn,non,Anim,a year,Indef,non,Inanim
she gave &a fright& to $mum$ though,gave mum a fright,gave,mum,Def-pn,non,Anim,a fright,Indef,non,Inanim
tow < > teach &a lesson or two& to $him$ leave me here,teach him a lesson or two < >,teach,him,Def,pronoun,Anim,a lesson or two,Indef,non,Inanim
Income Support to find out whether they're going to give &any money& to $me$ till um,give me any money,give,me,Def,pronoun,Anim,any money,Indef,non,Inanim
sorry we can't give &an appointment& to $you$,give you an appointment,give,you,Def,pronoun,Anim,an appointment,Indef,non,Inanim
and taught herself how to how to teach &how to read& to $me$ <yeah>,taught herself how to how to teach me how to read,teach,me,Def,pronoun,Anim,how to read,Indef,non,Inanim
they'd give &a plastic bag full of milk& to $you$,give you a plastic bag full of milk -,give,you,Def,pronoun,Anim,a plastic bag full of milk,Indef,non,Inanim
that you stuck a straw into and they'd give &an apple& to $you$,give you an apple .,give,you,Def,pronoun,Anim,an apple,Indef,non,Inanim
you know cos they give &fifty p& to $you$ and stuff and,give you fifty p,give,you,Def,pronoun,Anim,fifty p,Indef,non,Inanim
<oh okay> and I don't want to show &the message& to $them$,show them the message .,show,them,Def,pronoun,Anim,the message,Def,non,Inanim
<oh> I'd rather tell &the message& to $them$ <right okay>,tell them the message,tell,them,Def,pronoun,Anim,the message,Def,non,Inanim
she goes oh I need to tell &something& to $you$ Katrina I thought oh what ?   he,tell you something,tell,you,Def,pronoun,Anim,something,Indef,non,Inanim
he taught &a lot& to $me$ actually,taught me a lot,taught,me,Def,pronoun,Anim,a lot,Indef,non,Inanim
tell &stories& to $you$ and and he often told you um . tales about the neighbour -,tell you stories,tell,you,Def,pronoun,Anim,stories,Indef,non,Inanim
and I better be a grandmother by then too they better give &grandchildren& to $me$,give me grandchildren <> ---,give,me,Def,pronoun,Anim,grandchildren,Indef,non,Anim
McDonald's and excuse me the baby's giving &indigestion& to $me$,giving me indigestion,giving,me,Def,pronoun,Anim,indigestion,Indef,non,Inanim
so if you ask me to go into it I can't tell &exactly what he does& to $you$ he does,tell you exactly what he does,tell,you,Def,pronoun,Anim,exactly what he does,Indef,non,Inanim
and um so I made it my first thing when I was first on the course not to tell &my age& to $anyone$,tell anyone my age ? -,tell,anyone,Indef,non,Anim,my age,Def,non,Inanim
but yeah gave &a lot of feedback& to $me$ and it was really interesting -,gave me a lot of feedback,gave,me,Def,pronoun,Anim,a lot of feedback,Indef,non,Inanim
apply away for it and its a computer disc and it teaches &how to count& to $them$,teaches them how to count,teaches,them,Def,pronoun,Anim,how to count,Indef,non,Inanim
I sat there for an hour and taught &how to count to 100& to $him$,taught him how to count to 100?,taught,him,Def,pronoun,Anim,how to count to 100,Indef,non,Inanim
and um just taught &how to count& to $him$,taught him how to count,taught,him,Def,pronoun,Anim,how to count,Indef,non,Inanim
by himself like I had to give &a wee bit of prompting& to $him$ <yeah>,give him a wee bit of prompting,give,him,Def,pronoun,Anim,a wee bit of prompting,Indef,non,Inanim
cause he couldn't find you know and I gave &the books& to $him$ and .,gave him the books,gave,him,Def,pronoun,Anim,the books,Def,non,Inanim
why not? they give &a friggin assignment& to $you$,give you a friggin assignment,give,you,Def,pronoun,Anim,a friggin assignment,Indef,non,Inanim
she gave &five hundred and forty& to $him$ so,gave him five hundred and forty,gave,him,Def,pronoun,Anim,five hundred and forty,Indef,non,Inanim
/that's why I want/ to teach &computers& to $him$,teach him computers .,teach,him,Def,pronoun,Anim,computers,Indef,non,Inanim
you're not very sure about and you think well we'll give &a try& to $them$,give them a try,give,them,Def,pronoun,Anim,a try,Indef,non,Inanim
that he'd told &that& to $her$ that he was <oh>,told her that .,told,her,Def,pronoun,Anim,that,Def,pronoun,Inanim
and he goes I'm not g and she said I'm not giving &one& to $you$,giving you one,giving,you,Def,pronoun,Anim,one,Def,pronoun,Anim
well they gave &a years leave of absence& to $her$ anyway,gave her a years leave of absence,gave,her,Def,pronoun,Anim,a years leave of absence,Indef,non,Inanim
but they gave &a years absence& to $her$,gave her a years absence.,gave,her,Def,pronoun,Anim,a years absence,Indef,non,Inanim
and gives &lots of food& to $me$ and so.,gives me lots of food,gives,me,Def,pronoun,Anim,lots of food,Indef,non,Inanim
been giving &morphine elixir& to $her$ once a day,giving her morphine elixir,giving,her,Def,pronoun,Anim,morphine elixir,Indef,non,Inanim
I'll have to show &the photos& to $you$,show you the photos,show,you,Def,pronoun,Anim,the photos,Def,non,Inanim
but hmm you didn't tell &that& to $me$ when we drew up budget -,tell me that,tell,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
and she never really told &why& to $him$,told him why,told,him,Def,pronoun,Anim,why,Indef,non,Inanim
<yip> but um Dad sent &these photos& to $me$,sent me these photos,sent,me,Def,pronoun,Anim,these photos,Def,non,Inanim
I shouldn't tell &that& to $you$ you know,tell you that,tell,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
and um they gave &chewing gum& to $us$,gave us chewing gum,gave,us,Def,pronoun,Anim,chewing gum,Indef,non,Inanim
otherwise um - I otherwise it's like you're hanging around wanting them to give &a job& to $you$ and that's not really what I want <uhuh> yeah yeah but,give you a job,give,you,Def,pronoun,Anim,a job,Indef,non,Inanim
it was other people who told &how lucky I was to be alive& to $me$ <yeah> .,told me how lucky I was to be alive,told,me,Def,pronoun,Anim,how lucky I was to be alive,Indef,non,Inanim
they can charge &a surcharge& to $you$,charge you a surcharge,charge,you,Def,pronoun,Anim,a surcharge,Indef,non,Inanim
are you giving &enough homework& to $them$,giving them enough homework,giving,them,Def,pronoun,Anim,enough homework,Indef,non,Inanim
to give &the opportunities& to $them$ regardless of where thay are -  that's,give them the opportunities,give,them,Def,pronoun,Anim,the opportunities,Def,non,Inanim
and so they didn't they just didn't want to give &the support that they gave Tim& to $me$ in a way .    cos,give me the support that they gave Tim,give,me,Def,pronoun,Anim,the support that they gave Tim,Def,non,Inanim
like we do give &quite a bit of shit& to $Mum$ really,give Mum quite a bit of shit,give,Mum,Def-pn,non,Anim,quite a bit of shit,Indef,non,Inanim
you go and tell &something to shock them& to $them$ and they're,tell them something to shock them,tell,them,Def,pronoun,Anim,something to shock them,Indef,non,Inanim
like if if somebody offered &a job& to $you$ said,offered you a job,offered,you,Def,pronoun,Anim,a job,Indef,non,Inanim
by Australian standards . and when with your bill they gave &a little wee badge& to $you$ <mm>,gave you a little wee badge .,gave,you,Def,pronoun,Anim,a little wee badge,Indef,non,Inanim
you get this woman serves &our soup& to $us$ and she plonked it down on the table and um says,serves us our soup,serves,us,Def,pronoun,Anim,our soup,Def,non,Inanim
oh . and I sent &a whole lot of photos& to $them$ and .,sent them a whole lot of photos and stuff,sent,them,Def,pronoun,Anim,a whole lot of photos,Indef,non,Inanim
and I was wishing &a happy birthday& to $her$ and all those sorts of things,wishing her a happy birthday and all of them Merry Christmas,wishing,her,Def,pronoun,Anim,a happy birthday,Indef,non,Inanim
he'd given &all these instructions& to $us$ on the raft like,given us all these instructions,given,us,Def,pronoun,Anim,all these instructions,Def,non,Inanim
so it's kind of strange a Canadian showing &New Zealand& to $New Zealanders$,showing New Zealanders New Zealand .,showing,New Zealanders,Def-pn,non,Anim,New Zealand,Def-pn,non,Inanim
but it was a lot of fun but they just didn't tell &what was going on& to $us$ so,tell us what was going on .,tell,us,Def,pronoun,Anim,what was going on,Indef,non,Inanim
gave &some bruises& to $her$ and bandaged it up .,gave her some bruises .,gave,her,Def,pronoun,Anim,some bruises,Indef,non,Inanim
and they don't give &time to cope with the pain& to $you$,give you time to cope with the pain .,give,you,Def,pronoun,Anim,time to cope with the pain,Indef,non,Inanim
<mm> and they're such ordinary people and they teach &a lot of Maori language& to $you$ and -,teach you a lot of Maori language .,teach,you,Def,pronoun,Anim,a lot of Maori language,Indef,non,Inanim
I can't tell &that& to $you$ it was too embarrassing .,tell you that .,tell,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
but you're feeding &solid food& to $them$ and everything,feeding them solid food,feeding,them,Def,pronoun,Anim,solid food,Indef,non,Inanim
um took music lessons with some other kids at . hom home but she was teaching &the piano accordion& to $them$ but she also did piano lessons . an' so I .,teaching them the piano accordion,teaching,them,Def,pronoun,Anim,the piano accordion,Def,non,Inanim
an' we teach &how to increase their strength& to $them$,teach them how to increase their strength .,teach,them,Def,pronoun,Anim,how to increase their strength,Indef,non,Inanim
w' also learnt what happens to calves if you gave &too much& to $them$ thinking that you were being kind .,gave them too much,gave,them,Def,pronoun,Anim,too much,Indef,non,Inanim
problems an' you had to feed &lots of electrolytes& to $them$ 'n water 'n,feed them lots of electrolytes,feed,them,Def,pronoun,Anim,lots of electrolytes,Indef,non,Inanim
that was quite hard an' we used to feed &egg yolks& to $them$,feed them egg yolks,feed,them,Def,pronoun,Anim,egg yolks,Indef,non,Inanim
just gave &the wrong impression& to $me$ an' then I realised that the women were doing it too,gave me the wrong impression,gave,me,Def,pronoun,Anim,the wrong impression,Def,non,Inanim
oh . invaded it was like they'd walked right up to me an' were almost about t? give &a cuddle& to $me$ 'n I didn't even,give me a cuddle,give,me,Def,pronoun,Anim,a cuddle,Indef,non,Inanim
really good for me and it's given &an opportunity to meet people and meet their friends& to $me$,given me an opportunity to meet people and meet their friends .,given,me,Def,pronoun,Anim,an opportunity to meet people and meet their friends,Indef,non,Inanim
showing &what to do& to $everyone else$,showing everyone else what to do .,showing,everyone else,Def,non,Anim,what to do,Indef,non,Inanim
he's actually given &quite a bit& to $you$,given you quite a bit -,given,you,Def,pronoun,Anim,quite a bit,Indef,non,Inanim
bloody pissed off I gave &this& to $you$ now -,gave you this,gave,you,Def,pronoun,Anim,this,Def,pronoun,Inanim
yes . twenty five dollars or something really pathetic like that when it cost &two hundred& to $me$,cost me two hundred .,cost,me,Def,pronoun,Anim,two hundred,Indef,non,Inanim
I write &grovely stuff& to $them$,write them grovely stuff .,write,them,Def,pronoun,Anim,grovely stuff,Indef,non,Inanim
and you can tell &all of the stuff about the job& to $them$ also,tell them all of the stuff about the job,tell,them,Def,pronoun,Anim,all of the stuff about the job,Def,non,Inanim
because that'll tell &everything I need to know& to $me$,tell me everything I need to know,tell,me,Def,pronoun,Anim,everything I need to know,Def,non,Inanim
it doesn't give &time& to $you$,give you time,give,you,Def,pronoun,Anim,time,Indef,non,Inanim
they gave &good feedback& to $you$,gave you good feedback,gave,you,Def,pronoun,Anim,good feedback,Indef,non,Inanim
Sue didn't really give &much feedback& to $me$ at all .,give me much feedback,give,me,Def,pronoun,Anim,much feedback,Indef,non,Inanim
and if they are understanding when your giving &instruction& to $them$ <mmm>,giving them instruction,giving,them,Def,pronoun,Anim,instruction,Indef,non,Inanim
that cost &heaps& to $us$ actually oh no four pounds .,cost us heaps,cost,us,Def,pronoun,Anim,heaps,Indef,non,Inanim
and .    that's just I'm just trying to give &an example& to $you$,give you an example,give,you,Def,pronoun,Anim,an example,Indef,non,Inanim
oh I'll show &a photo of Wanabe san& to $you$,show you a photo of Wanabe san,show,you,Def,pronoun,Anim,a photo of Wanabe san,Indef,non,Inanim
you know he . really wanted to tell &what to do& to $us$ all the time,tell us what to do,tell,us,Def,pronoun,Anim,what to do,Indef,non,Inanim
and they were giving &all this stuff& to $me$ and I was really quite high,giving me all this stuff,giving,me,Def,pronoun,Anim,all this stuff,Def,non,Inanim
and he sent &flowers& to $me$ at work .,sent me flowers,sent,me,Def,pronoun,Anim,flowers,Indef,non,Inanim
and he won't tell &what he told Dad& to $me$,tell me what he told Dad,tell,me,Def,pronoun,Anim,what he told Dad,Indef,non,Inanim
to make sure I still feed &lots& to $her$ cos she's sleeping through the night,feed her lots,feed,her,Def,pronoun,Anim,lots,Indef,non,Inanim
it's just like gives &a real buzz& to $you$ and you think,gives you a real buzz,gives,you,Def,pronoun,Anim,a real buzz,Indef,non,Inanim
